날짜,빈도수
2020-04-01,67
2020-04-02,86
2020-04-03,71
2020-04-04,74
2020-04-05,67
2020-04-06,77
2020-04-07,86
2020-04-08,86
2020-04-09,95
2020-04-10,75
2020-04-11,85
2020-04-12,69
2020-04-13,77
2020-04-14,62
2020-04-15,74
2020-04-16,79
2020-04-17,82
2020-04-18,86
2020-04-19,86
2020-04-20,81
2020-04-21,56
2020-04-22,77
2020-04-23,94
2020-04-24,83
2020-04-25,51
2020-04-26,78
2020-04-27,75
2020-04-28,70
2020-04-29,94
2020-04-30,70
2020-05-01,78
2020-05-02,63
2020-05-03,90
2020-05-04,77
2020-05-05,74
2020-05-06,88
2020-05-07,59
2020-05-08,81
2020-05-09,94
2020-05-10,99
2020-05-11,67
2020-05-12,79
2020-05-13,75
2020-05-14,66
2020-05-15,78
2020-05-16,78
2020-05-17,55
2020-05-18,61
2020-05-19,81
2020-05-20,83
2020-05-21,65
2020-05-22,66
2020-05-23,67
2020-05-24,85
2020-05-25,77
2020-05-26,84
2020-05-27,90
2020-05-28,100
2020-05-29,70
2020-05-30,89
2020-05-31,72
2020-06-01,71
2020-06-02,88
2020-06-03,78
2020-06-04,89
2020-06-05,70
2020-06-06,87
2020-06-07,62
2020-06-08,68
2020-06-09,90
2020-06-10,83
