날짜,빈도수
2020-04-01,56
2020-04-02,54
2020-04-03,62
2020-04-04,64
2020-04-05,60
2020-04-06,63
2020-04-07,56
2020-04-08,55
2020-04-09,50
2020-04-10,59
2020-04-11,60
2020-04-12,59
2020-04-13,55
2020-04-14,50
2020-04-15,84
2020-04-16,100
2020-04-17,84
2020-04-18,79
2020-04-19,63
2020-04-20,60
2020-04-21,60
2020-04-22,55
2020-04-23,61
2020-04-24,65
2020-04-25,75
2020-04-26,67
2020-04-27,61
2020-04-28,66
2020-04-29,86
2020-04-30,77
2020-05-01,75
2020-05-02,75
2020-05-03,73
2020-05-04,58
2020-05-05,70
2020-05-06,93
2020-05-07,72
2020-05-08,61
2020-05-09,67
2020-05-10,72
2020-05-11,65
2020-05-12,72
2020-05-13,72
2020-05-14,64
2020-05-15,63
2020-05-16,68
2020-05-17,59
2020-05-18,59
2020-05-19,60
2020-05-20,66
2020-05-21,73
2020-05-22,59
2020-05-23,61
2020-05-24,56
2020-05-25,51
2020-05-26,58
2020-05-27,52
2020-05-28,54
2020-05-29,57
2020-05-30,60
2020-05-31,55
2020-06-01,55
2020-06-02,52
2020-06-03,54
2020-06-04,54
2020-06-05,51
2020-06-06,56
2020-06-07,58
2020-06-08,54
2020-06-09,49
2020-06-10,47
