Unnamed: 0,youtube_id,comment,like_num
0,안지안,"#보호종료아동을위한커뮤니티케어센터 안지안입니다 ㅎㅎ 좋은기회로 보호종료아동을 알릴 수 있고, 많은분들이 저희를 응원한다는 것을 알고, 힘차게 살아갈 힘을 주셔서 감사합니다❤ 새롬님과 롬앤에서 달아주신 날개로 더 힘차게 날겠습니다❣",243개
1,김첨지의럭키데이,헉 이분 얼굴이 낯이 익다 싶었는데 무엇이든 물어보살 나오신 분이군요..!!!,39개
2,이영은,진짜 롬앤분들이 고민많이 하셔서 캠페인 만드신게 느껴져요ㅠㅠ 너무 멋있고 저도 제품 나오면 구매할게요!,46개
3,윤햇님,이 캠페인을 계기로 기부에는  재능기부를 뿐만 아니라 이로인해 정서적 지원을 할 수 있다는 것에 대해 대중들의 인식을 바꿀 수 있었음 좋겠어요!,13개
4,봄봄,뷰티 회사에서 처음보는 프로젝트다,79개
5,자축인묘진샤오미배터리,지안님 뭔가 낯이 익다거 생각했는데 인간극장에사 봤네요!!!! ㅠㅠㅠㅠ 반가워요,14개
6,다미다,"예전에 거리의만찬 이라는 프로그램에서 보호종료아동에 대해 접하고나서 ‘보호 종료 아동’이라는 단어로 인한 편견? 그 단어로는 담을 수 없는 ‘청년’ 그 자체로서의 꿈과 가능성을 한껏 응원하고싶다는 생각을 했었는데, 이런 캠페인 진행 그리고 진정성이 가득 담긴 캠페인 소개 영상을 보니 역시 롬앤과 개코님~이라는 생각이 드네요🙆🏻‍♀️",5개
7,김규리,헐 언니 왜 하루나 기다리게 해요 ㅋㅋㄹㅋㄹㅋㄹㅋ 인스타에서 봤던 그 웃픈 상황 ㅋㅋㅋㅋㅋㅋㅋㅋ 아 내일 잘 볼게요... 흐흫ㅎㅎㅎ,94개
8,야호야호,캠페인 너무 좋은것같아요! 노력으로 일구신 지금의 위치를 감사하게 여겨주시고 이렇게 선한영향력 행사하려 하시는게 너무 멋있어요! 😊 저도 꼭 참여하고 제품나오면 구매하러 가야겠네용!❤,61개
9,최민기와최당긴기,"이래서 롬앤을 안사랑할 수가 없어요,,, 정말 뷰티회사가 노력해서 받은 사랑을 기부로 풀어내는 회사 흔치않은데 대단하세요. 보호종료아동 주변에서는 많이 본 적이 없고 잘 몰랐던 터라 신경써서 알지 못했는데 감사합니다. 저도 물어보살 보고 인상깊었는데 인트로에 나오신 분이 지안님이신지 몰랐어요..!! 저도 슬로건 공모전 참여 해 볼게요:) 앞으로 화장품 구매할 일이 있으면 무조건 롬앤안에서 고를게요,, 물론 벌써 그래왔지만,,",62개
