comment,token
점포아니고 전포인뎅편집자분 부산분 아니신가봐용 오늘도 재미나게보겠습니당❤,"['점포', '포', '뎅', '편집자', '부산', '오늘', '재미나', '습']"
서울사람 입니다쨔미쓰님들과 같은 우리 동년배들 그 모자 많이 씁니다 모자 아주 예쁩니댜,"['서울', '사람', '쨔미쓰님', '우리', '동년배', '그', '모자', '모자', '아주', '댜']"
서울사람이지만 캡모자를 훨씬더 쓰는 느낌적인 느낌,"['사람', '캡', '모자', '더', '느낌', '느낌']"
아니 왜 아무도 0:24 여기 나오는 벨소리 언급을 안해요 어이없게 웃기잖앜아닠,"['왜', '아무', '여기', '벨소리', '언급', '안해', '앜아닠']"
저 모자쌩얼 모자 화장안하고 머리 안감았을 때 마스크랑 저모자쓰면 면상을 완벽하게 가릴수있음 저만그런가요,"['저', '모자', '쌩얼', '모자', '화장', '안', '머리', '때', '마스크', '모자', '면상', '가요']"
0:23 휴대폰 벨소리 제가 제대로 들은건가욬 뭔가 느낌있는 팝송일것 같았는데 구수하시네옄언니 최고1:17 앜쿠 저두없어영2:16 point12:56 자른 미역으로 생일 미역국을 해먹나욤 제가 알기론 장수하라고 미역 일부러 안자르고 넣는다던뎅길게길게 먹는데요 그래도 뭐 마음이 중요한거죵 전 미역국 간도 못맞추는걸여 하핳 엄마 최고3:08 그런이유였군옄미역국이 한 솥 가득인 이유 5:35 아 이 언니들 너무 죠아 의식의 흐름6:37 point210:06 아잌 자세봨 이런 친근한 유튜버 같으니라구 12:09 세상에 이게 무슨 소리야12:16 마늘 마늘 안넣었자나여15:31 와우 깜짝이야15:40 이르케 보니까 언니들 진짜 안늙는다 그대로다 너무 이뿨17:12 point317:48 언니18:16 나만 누워서 허우적거리는게 아니었군 100만 유튜버도 하는 행동이었어((위안,"['휴대폰', '벨소리', '제', '제대로', '건가', '욬', '뭔가', '팝송', '옄', '최고', '앜쿠', '두', '영', '미역', '생일', '미역국', '해먹', '욤', '제', '론', '장수', '미역', '일부러', '뎅', '뭐', '마음', '죵', '전', '미역국', '간도', '는걸', '엄마', '최고', '이유', '옄', '미역국', '솥', '가득', '이유', '이', '언니', '죠', '의식', '흐름', '아잌', '자세', '봨', '유튜버', '구', '세상', '이', '무슨', '소리', '마늘', '마늘', '나', '와우', '깜짝', '이르케', '보', '언니', '진짜', '그대', '언니', '나', '유튜버', '행동', '위안']"
정말 찐친  셋이서  저렇게  좋을 수가 생일축하했어요,"['정말', '친', '셋', '이서', '수가', '생일', '축하']"
역시 여자들 우정 너무 최고당 쨔미쓰 오래오래 봐용,"['역시', '여자', '우정', '최고', '쨔미쓰', '오래오래']"
역시 믿고 보는 쨔미쓰 오디오가 빌틈이 없쒀,"['역시', '쨔미쓰', '오디오', '틈']"
쨔미쓰 너무 기다렸어요❤️❤️,['쨔미쓰']
